,name,rating,votes
0,Pai Thai - Jumeirah Al Qasr,4.9,982
1,Zuma,4.9,1919
2,Trèsind,4.9,2320
3,La Petite Maison,4.9,932
4,Kitchen6 - JW Marriott Marquis,4.8,2039
5,Shakeism Milkshakes,4.7,14320
6,At.mosphere,4.7,961
7,Tong Thai - JW Marriott Marquis,4.7,720
8,Mint Leaf of London,4.7,2617
9,COYA,4.7,874
10,Mythos,4.7,936
11,Couqley French Bistro & Bar,4.7,887
12,Hard Rock Cafe,4.7,2115
13,Yesterday Restaurant & Pub - Four Points by Sheraton,4.7,620
14,Hookah Pani - Grand Excelsior Hotel,4.7,499
15,SugarMoo,4.6,2539
16,Armani Amal - Armani Hotel Dubai,4.6,583
17,Farzi Cafe,4.6,2268
18,Texas Roadhouse,4.6,1412
19,The Cheesecake Factory,4.6,1621
20,Wokyo™ Noodle Bar,4.6,26076
21,Bait Maryam,4.6,4178
22,TRAINING DAY,4.6,476
23,The Choco Monarch,4.6,974
24,The Irish Village,4.6,1210
25,Wakame - Sofitel Dubai Downtown,4.5,473
26,Snugbowl,4.5,877
27,TOMO - Raffles Dubai,4.5,505
28,The Cheesecake Factory,4.5,2034
29,GF Ferre Chocolate Bar,4.5,529
30,Belgian Beer Café - Crowne Plaza Dubai Festival City,4.5,750
31,Socialicious,4.5,2226
32,Mama'esh,4.5,9550
33,Magnolia Bakery,4.5,985
34,Yamanote Atelier,4.5,449
35,Al Ustad Special Kabab,4.5,2482
36,Cocoa Room,4.5,821
37,Vietnamese Foodies,4.5,2258
38,Rasoi Ghar,4.5,13511
39,Arabian Tea House,4.5,576
40,Purani Dilli,4.5,960
41,Gaucho,4.5,624
42,Kaleidoscope - Atlantis The Palm,4.5,1375
43,Al Damyati & Iskandaron,4.5,640
44,Asia Kitchen By Mainland China,4.5,4008
45,The Meating Room,4.5,5532
46,Tum Tum Asia,4.5,2541
47,Sugaholic,4.5,1533
48,Aaraamam,4.5,1897
49,Elia - Majestic City Retreat Hotel,4.5,447
50,Hot Palayok Restaurant,4.5,4147
51,Dampa Seafood Grill,4.5,942
52,Bakemart Gourmet,4.5,913
53,Texas Roadhouse,4.5,602
54,Krispy Kreme - Al Barsha Mall,4.5,181
55,MASH MOOD,4.5,103
56,DIY,4.5,104
57,Dunkin',4.5,126
58,TRAINING DAY,4.5,120
59,Nusr-Et Steakhouse - Four Seasons Resort Dubai at Jumeirah Beach,4.4,1237
60,Tom&Serg,4.4,1183
61,Belgian Beer Café - Grand Millennium Dubai,4.4,1105
62,La Serre - Vida Downtown Dubai,4.4,735
63,Al Safadi Restaurant - الصفدي,4.4,7828
64,The Hamptons Cafe,4.4,978
65,Katsuya by Starck - The Dubai Mall,4.4,623
66,AB's Absolute Barbecues,4.4,6727
67,Kickers Sports Bar,4.4,736
68,Katsuya by Starck - Jumeirah Al Naseem Hotel,4.4,904
69,Social House,4.4,1743
70,Raju Omlet,4.4,1226
71,SALT,4.4,2005
72,Warehouse - Le Méridien Dubai Hotel & Conference Centre,4.4,1087
73,Thiptara- Palace Downtown,4.4,614
74,Carnival By Trèsind - كرنفال,4.4,1787
75,Pinza,4.4,13101
76,Al Safadi Restaurant - الصفدي,4.4,12190
77,Maharaja Bhog,4.4,19813
78,Highway 311 Grills and Eatery,4.4,3324
79,24th St.,4.4,487
80,Ewaan- Palace Downtown,4.4,498
81,3 Fils,4.4,538
82,Nayaab Haandi,4.4,8721
83,Rajdhani Street,4.4,5952
84,"Mmmbox - Sushi, Asian & Indian",4.4,2942
85,O'Pao Indian Sliders,4.4,3301
86,Blaze Burgers,4.4,4541
87,"Wok's Den - Wok, Thai, Chinese & Asian",4.4,3363
88,Nola Eatery & Social House,4.4,875
89,Molten Me,4.4,856
90,Pappa Roti,4.4,589
91,Roberto's,4.4,648
92,AFFORDABOWLS,4.4,685
93,Fuchsia,4.4,4994
94,Something Baked,4.4,15335
95,Ribbons & Balloons,4.4,4336
96,Jamie's Pizzeria by Jamie Oliver,4.4,1191
97,Laffah Cafeteria - كافتيريا لفاح,4.9,909
98,Madfoon Al Khaimah - مطعم مدفون الخيمة,4.6,370
99,Black Salt,4.6,289
100,Eat Route,4.5,5915
101,Al Ashiyah Cafeteria( Haji Chapali Kabab),4.5,139
102,Shamseen Bakeries - مخابز الشمسين,4.5,274
103,Al Rajwah Cafeteria,4.5,196
104,Khubz & Meleh Restaurant,4.5,4763
105,Laffah Cafeteria - كافتيريا لفاح,4.5,660
106,Momo House,4.4,9347
107,Waffee Street,4.4,564
108,Gazebo - جازيبو,4.4,5482
109,Paper Fig Desserts,4.4,431
110,Falafil Al Comodor,4.4,546
111,Call It Yummy Cafe (Wahat Al Ramlah Cafeteria),4.4,305
112,Mister Baker,4.4,378
113,Al Afadhil,4.4,460
114,Kabab Karachi,4.4,7686
115,Zahrat Al Quds Restaurant,4.4,136
116,Al Arz Automatic Bakery,4.4,285
117,PAUL Bakery & Restaurant,4.4,381
118,Al Ghaar - Ghar Ka Swaad,4.4,506
119,Molten Chocolate Cafe,4.3,334
120,Nayaab Haandi,4.3,5604
121,Nayaab Haandi,4.3,13039
122,Al Mukhtar Bakery - مخبز المختار,4.3,1298
123,Chili's,4.3,378
124,Little China Restaurant,4.3,808
125,Kulfilicious,4.3,1825
126,Italiere,4.3,1950
127,Cold Stone Creamery,4.3,413
128,Makani Restaurant - مكاني رستورانت,4.3,2945
129,Krispy Kreme,4.3,946
130,Kullaj Omar,4.3,363
131,Pappa Roti,4.3,161
132,PizzaExpress,4.3,740
133,Tim Hortons,4.3,430
134,The Pizza Company,4.3,226
135,Chin Chin,4.3,362
136,Aroos Damascus - عروس دمشق,4.2,7929
137,Nando's,4.2,2828
138,Haji Ali Juice Centre,4.2,4505
139,Crisol,4.2,311
140,Occassions,4.2,350
141,Emirates Sea,4.2,211
142,Kabab Bombay Cafeteria,4.2,199
143,Shakespeare and Co. - شكسبير اند كو,4.2,500
144,Falafel Frayha- فلافل فريحة,4.2,2981
145,Jimmy's Shack,4.2,3649
146,Tim Hortons,4.2,751
147,DineBest,4.2,2113
148,Emirgan Sutis,4.2,204
149,Nayaab Haandi,4.2,9872
150,Salkara Restaurant,4.2,5099
151,Raju Omlet,4.2,4143
152,Madeenat Haridwar,4.2,153
153,Cinnabon,4.2,724
154,On The Wood - عالحطب,4.2,3516
155,Safartas - سفرطاس,4.2,900
156,Kreich - كريش,4.2,120
157,Sasya Pure Veg,4.2,148
158,Qasr Sialkot Cafeteria,4.2,113
159,Kulfilicious,4.2,859
160,The Good Bowl,4.2,208
161,Sizzling Wok - Citymax Hotel Sharjah,4.1,119
162,Chin Chin,4.1,6036
163,Kamat,4.1,4012
164,Chutney,4.1,2534
165,Al Miqat,4.1,2233
166,Spicy Land Restaurant,4.1,3411
167,TGI Fridays,4.1,1001
168,Aleppo Grills (Al Mashawi Al Halabya) - المشاوي الحلبية,4.1,4063
169,SOL,4.1,1053
170,Deccan Delight,4.1,2636
171,Zushi,4.1,2502
172,Mara Cafe,4.1,807
173,Sumo Sushi & Bento,4.1,1597
174,Bangkok Town,4.1,2066
175,Mithaas Fast Food,4.1,215
176,Road House American Diner,4.1,3184
177,Al Sindbad Cafeteria,4.1,2271
178,French Cakes,4.1,191
179,Ice & Berry,4.1,169
180,Al Loqmah Al Laziziah,4.1,538
181,Mister Baker,4.1,150
182,Mister Baker,4.1,213
183,Al Fanar Restaurant & Café - الفنر,4.1,381
184,Hi Broast,4.1,193
185,Food Bowl,4.1,194
186,Foodbook Restaurant,4.1,280
187,DineBest,4.1,1149
188,Portsaid Vegetarian Restaurant,4.1,152
189,Chili's,4.1,1200
190,Kukko Restaurant,4.1,5494
191,Gazebo - جازيبو,4.1,520
192,Taza,4.1,264
193,Ushna,4.9,502
194,Punjab Grill,4.9,581
195,Zuma,4.9,599
196,The Cheesecake Factory,4.8,1121
197,Ola Brasil Restaurant,4.7,908
198,Pizza Di Rocco,4.7,18881
199,Tamba,4.7,726
200,Texas Roadhouse,4.7,549
201,Hakkasan - Emirates Palace,4.7,276
202,Mosaic,4.6,7361
203,Saudi Kitchen - المطبخ السعودي,4.6,371
204,Nolu's,4.6,5215
205,Burro Blanco,4.6,789
206,The Meat Co,4.5,276
207,Denny's - دينيز,4.5,4334
208,Madang Korean,4.5,558
209,Tandoori Corner,4.5,9215
210,Pizza Di Rocco,4.5,7347
211,Texas de Brazil,4.5,1406
212,Bentley Kitchen,4.5,274
213,Almayass,4.5,453
214,Catch,4.5,301
215,Gino's Deli,4.5,617
216,Gino's Deli,4.5,340
217,Tobasco's,4.4,3213
218,Bait El Khetyar - بيت الختيار,4.4,9575
219,Ming's Chamber,4.4,3310
220,Mora,4.4,9116
221,Nolu's Downtown,4.4,5450
222,Hankook Korean,4.4,451
223,Korean Kitchen,4.4,1885
224,Galito's,4.4,7026
225,Alafiya Turkish Restaurant,4.4,861
226,Off The Hook,4.4,1821
227,Freez,4.4,145
228,Nihal Restaurant,4.4,11736
229,Super Poke,4.4,1198
230,Sushi Story,4.4,2159
231,tashas,4.4,232
232,Abil Fida,4.4,260
233,Sopranos,4.4,1164
234,Art House Cafe,4.4,340
235,Koi Restaurant & Lounge,4.4,206
236,Belgium Waffles,4.4,183
237,Anand Al Saeed,4.4,211
238,Five Guys,4.4,313
239,Camel Cookies,4.4,1010
240,Belgian Cafe - InterContinental Hotel,4.4,284
241,Le Café - Emirates Palace,4.4,172
242,Sofra bld,4.3,278
243,Layali Al Sham,4.3,2821
244,SALT,4.3,576
245,Dip N Dip,4.3,281
246,Max's Restaurant,4.3,6058
247,The Burgerista,4.3,1610
248,Gazebo,4.3,3173
249,Indian By Nature,4.3,8363
250,Najd Palace - قصر نجد,4.3,4184
251,Manna Land Korean Restaurant,4.3,595
252,La Farina Pizzeria,4.3,1112
253,Freedom Pizza,4.3,7807
254,Punjab Highway Restaurant,4.3,2406
255,Jazz@PizzaExpress,4.3,5573
256,Olive Garden,4.3,673
257,MYNT Indian Cuisine,4.3,2065
258,Pinza,4.3,2267
259,Bloomsbury's,4.3,1272
260,Paul Bakery & Restaurant,4.3,851
261,Sushi Central,4.3,6587
