,city,name,rating,votes
0,Dubai,Pai Thai - Jumeirah Al Qasr,4.9,982
1,Dubai,Zuma,4.9,1919
2,Dubai,Trèsind,4.9,2320
3,Dubai,La Petite Maison,4.9,932
4,Dubai,Kitchen6 - JW Marriott Marquis,4.8,2039
5,Dubai,Shakeism Milkshakes,4.7,14320
6,Dubai,At.mosphere,4.7,961
7,Dubai,Tong Thai - JW Marriott Marquis,4.7,720
8,Dubai,Mint Leaf of London,4.7,2617
9,Dubai,COYA,4.7,874
10,Dubai,Mythos,4.7,936
11,Dubai,Couqley French Bistro & Bar,4.7,887
12,Dubai,Hard Rock Cafe,4.7,2115
13,Dubai,Yesterday Restaurant & Pub - Four Points by Sheraton,4.7,620
14,Dubai,Hookah Pani - Grand Excelsior Hotel,4.7,499
15,Dubai,SugarMoo,4.6,2539
16,Dubai,Armani Amal - Armani Hotel Dubai,4.6,583
17,Dubai,Farzi Cafe,4.6,2268
18,Dubai,Texas Roadhouse,4.6,1412
19,Dubai,The Cheesecake Factory,4.6,1621
20,Dubai,Wokyo™ Noodle Bar,4.6,26076
21,Dubai,Bait Maryam,4.6,4178
22,Dubai,TRAINING DAY,4.6,476
23,Dubai,The Choco Monarch,4.6,974
24,Dubai,The Irish Village,4.6,1210
25,Dubai,Wakame - Sofitel Dubai Downtown,4.5,473
26,Dubai,Snugbowl,4.5,877
27,Dubai,TOMO - Raffles Dubai,4.5,505
28,Dubai,The Cheesecake Factory,4.5,2034
29,Dubai,GF Ferre Chocolate Bar,4.5,529
30,Dubai,Belgian Beer Café - Crowne Plaza Dubai Festival City,4.5,750
31,Dubai,Socialicious,4.5,2226
32,Dubai,Mama'esh,4.5,9550
33,Dubai,Magnolia Bakery,4.5,985
34,Dubai,Yamanote Atelier,4.5,449
35,Dubai,Al Ustad Special Kabab,4.5,2482
36,Dubai,Cocoa Room,4.5,821
37,Dubai,Vietnamese Foodies,4.5,2258
38,Dubai,Rasoi Ghar,4.5,13511
39,Dubai,Arabian Tea House,4.5,576
